,title_clean,users_rating,deep_profound,entertaining_music,realistic_settings,experience_excitement,fun
0,For Love of the Game,6.6,0.0,0.0,0.0,0.0,0.0
1,The Lord of the Rings The Return of the King,8.9,0.0,0.0,0.0,1.0,0.0
2,Her,8.0,0.0,0.0,0.0,1.0,0.0
3,Harry Potter and the Order of the Phoenix,7.5,0.0,1.0,0.0,1.0,0.0
4,Heat,8.2,0.0,0.0,0.0,0.0,0.0
5,The Circle,5.3,1.0,1.0,0.0,2.0,0.0
6,The Godfather Part II,9.0,0.0,1.0,1.0,0.0,0.0
7,The Guest,6.7,1.0,0.0,1.0,1.0,0.0
8,Pirates of the Caribbean On Stranger Tides,6.6,0.0,0.0,0.0,1.0,1.0
9,Indiana Jones and the Last Crusade,8.2,2.0,1.0,0.0,2.0,0.0
10,Prometheus,7.0,1.0,0.0,0.0,1.0,1.0
11,Furious 7,7.1,0.0,0.0,0.0,1.0,0.0
12,Remember the Titans,7.8,1.0,0.0,0.0,1.0,0.0
13,The Room,3.7,0.0,0.0,0.0,1.0,0.0
14,Venom,6.7,0.0,0.0,0.0,1.0,0.0
15,Transformers,7.0,0.0,0.0,0.0,2.0,0.0
16,Halloween,7.8,0.0,0.0,0.0,1.0,0.0
17,Argo,7.7,0.0,0.0,0.0,1.0,0.0
18,21 Jump Street,7.2,0.0,0.0,0.0,1.0,4.0
19,Dallas Buyers Club,8.0,2.0,1.0,0.0,0.0,0.0
20,Star Wars Episode IV A New Hope,8.6,1.0,1.0,0.0,2.0,0.0
21,The Martian,8.0,0.0,0.0,0.0,0.0,0.0
22,Beauty and the Beast,7.1,2.0,1.0,0.0,1.0,0.0
23,Battlefield Earth,2.5,0.0,0.0,0.0,1.0,0.0
24,Dunkirk,7.9,1.0,1.0,2.0,1.0,0.0
25,Grown Ups 2,5.4,2.0,0.0,0.0,1.0,3.0
26,Paul,7.0,0.0,0.0,0.0,0.0,3.0
27,Savages,6.5,0.0,0.0,0.0,0.0,0.0
28,Police Academy,6.7,0.0,0.0,0.0,1.0,3.0
29,Total Recall,6.3,0.0,0.0,1.0,1.0,0.0
30,The Last Samurai,7.7,0.0,1.0,0.0,0.0,0.0
31,Minions,6.4,0.0,0.0,0.0,1.0,2.0
32,Secretary,7.0,1.0,0.0,1.0,1.0,0.0
33,Thirteen,6.8,0.0,0.0,1.0,0.0,0.0
34,Burlesque,6.4,0.0,2.0,1.0,0.0,0.0
35,Major League,7.2,1.0,1.0,0.0,0.0,2.0
36,Lone Survivor,7.5,0.0,0.0,1.0,1.0,0.0
37,Hancock,6.4,1.0,1.0,0.0,4.0,0.0
38,True Lies,7.2,0.0,0.0,0.0,0.0,2.0
39,Mission to Mars,5.7,0.0,0.0,0.0,1.0,0.0
40,Gattaca,7.8,0.0,1.0,2.0,2.0,0.0
41,The Expendables 3,6.1,0.0,0.0,0.0,0.0,0.0
42,Honey I Shrunk the Kids,6.3,0.0,0.0,0.0,2.0,0.0
43,Valentine s Day,5.7,0.0,0.0,0.0,2.0,0.0
44,Days of Thunder,6.0,0.0,0.0,1.0,0.0,0.0
45,Kick Ass,7.6,1.0,0.0,0.0,0.0,2.0
46,The Ring,7.1,0.0,0.0,1.0,0.0,0.0
47,Fast Five,7.3,1.0,0.0,1.0,0.0,0.0
48,Ender s Game,6.6,0.0,1.0,2.0,2.0,0.0
49,The King s Speech,8.0,1.0,0.0,0.0,0.0,0.0
50,Robin Hood Prince of Thieves,6.9,0.0,0.0,0.0,1.0,0.0
51,Pretty Baby,6.6,0.0,0.0,0.0,0.0,0.0
52,U 571,6.6,1.0,0.0,0.0,2.0,0.0
53,A Thousand Words,5.9,2.0,0.0,0.0,0.0,2.0
54,Alien Resurrection,6.2,0.0,1.0,0.0,1.0,0.0
55,Erin Brockovich,7.3,1.0,0.0,0.0,0.0,0.0
56,The Heartbreak Kid,5.8,0.0,1.0,0.0,0.0,3.0
57,Dredd,7.1,0.0,1.0,0.0,0.0,1.0
58,Charlie s Angels Full Throttle,4.9,0.0,0.0,1.0,2.0,0.0
59,Marty,7.7,0.0,0.0,0.0,0.0,0.0
60,Battleship,5.8,0.0,0.0,0.0,1.0,1.0
61,The Day After Tomorrow,6.4,0.0,0.0,0.0,2.0,0.0
62,8 Mile,7.1,0.0,1.0,0.0,1.0,0.0
63,An American Werewolf in London,7.5,0.0,0.0,1.0,3.0,0.0
64,Anomalisa,7.3,0.0,0.0,1.0,1.0,0.0
65,Abominable,7.0,0.0,0.0,0.0,1.0,2.0
66,Life as We Know It,6.5,2.0,0.0,0.0,0.0,2.0
67,Transformers Revenge of the Fallen,6.0,0.0,0.0,0.0,1.0,0.0
68,Overboard,6.9,0.0,0.0,1.0,1.0,2.0
69,Anastasia,7.2,0.0,1.0,2.0,0.0,0.0
70,Empire Records,6.7,1.0,0.0,0.0,0.0,2.0
71,The Snowman,5.1,1.0,0.0,0.0,1.0,0.0
72,Pixels,5.5,0.0,0.0,0.0,1.0,2.0
73,Grandma s Boy,7.0,3.0,0.0,0.0,1.0,2.0
74,The Last House on the Left,6.5,0.0,0.0,1.0,0.0,0.0
75,Everybody Wants Some,6.9,1.0,0.0,0.0,0.0,1.0
76,Warm Bodies,6.9,0.0,1.0,1.0,1.0,3.0
77,The Purge,5.7,0.0,0.0,1.0,0.0,1.0
78,Saving Mr Banks,7.5,0.0,1.0,1.0,1.0,0.0
79,As Above So Below,6.2,0.0,0.0,1.0,0.0,0.0
80,No One Lives,6.0,0.0,0.0,0.0,0.0,0.0
81,25th Hour,7.6,0.0,1.0,0.0,1.0,0.0
82,Paranormal Activity,6.3,0.0,0.0,0.0,0.0,0.0
83,Red Dawn,5.4,1.0,1.0,0.0,1.0,0.0
84,Street Fighter,4.0,0.0,0.0,2.0,0.0,0.0
85,Gentlemen Prefer Blondes,7.2,0.0,4.0,0.0,0.0,4.0
86,High Noon,7.9,0.0,0.0,0.0,0.0,0.0
87,Scream 4,6.1,2.0,1.0,0.0,1.0,0.0
88,Annie,5.3,1.0,1.0,1.0,1.0,1.0
89,Boys Don t Cry,7.5,2.0,0.0,1.0,1.0,0.0
90,Sling Blade,8.0,1.0,0.0,1.0,0.0,0.0
91,Bridget Jones s Diary,6.7,0.0,0.0,0.0,1.0,2.0
92,The House Bunny,5.5,2.0,1.0,0.0,0.0,2.0
93,Spy Kids,5.5,0.0,0.0,0.0,1.0,1.0
94,Heavyweights,6.7,0.0,0.0,0.0,1.0,1.0
95,Scouts Guide to the Zombie Apocalypse,6.3,1.0,0.0,0.0,1.0,2.0
96,Some Kind of Wonderful,7.1,0.0,0.0,1.0,1.0,0.0
97,Teen Wolf,6.1,1.0,0.0,0.0,0.0,0.0
98,Hot Tub Time Machine,6.4,0.0,0.0,0.0,1.0,2.0
99,Cleopatra,7.0,0.0,0.0,0.0,0.0,0.0
100,Tootsie,7.4,2.0,0.0,0.0,1.0,2.0
101,Dawn of the Planet of the Apes,7.6,0.0,0.0,0.0,1.0,0.0
102,The Lucky One,6.5,0.0,0.0,1.0,1.0,0.0
103,Short Term 12,8.0,0.0,0.0,2.0,1.0,0.0
104,The Whole Nine Yards,6.7,0.0,1.0,0.0,0.0,2.0
105,The Life Aquatic with Steve Zissou,7.3,0.0,0.0,0.0,1.0,2.0
106,Ronin,7.3,0.0,1.0,1.0,1.0,0.0
107,Say Anything,7.3,0.0,0.0,0.0,0.0,0.0
108,Carrie,5.9,0.0,0.0,0.0,2.0,0.0
109,Robin Hood,7.6,0.0,1.0,2.0,0.0,0.0
110,Black Rain,6.7,0.0,0.0,0.0,0.0,0.0
111,What Women Want,6.4,0.0,0.0,0.0,0.0,2.0
112,The Strangers,6.2,0.0,0.0,0.0,1.0,0.0
113,Death Race,6.4,0.0,0.0,0.0,0.0,0.0
114,The Final Girls,6.6,1.0,0.0,0.0,0.0,2.0
115,Meet the Parents,7.0,1.0,0.0,0.0,0.0,4.0
116,Cool Hand Luke,8.1,0.0,0.0,0.0,0.0,0.0
117,White House Down,6.4,0.0,0.0,2.0,1.0,0.0
118,Sabrina,6.3,0.0,0.0,1.0,0.0,0.0
119,Bad Teacher,5.6,1.0,0.0,0.0,1.0,2.0
120,Ben Hur,8.1,0.0,0.0,0.0,1.0,0.0
121,Priest,5.7,1.0,0.0,0.0,2.0,0.0
122,Real Steel,7.1,1.0,0.0,2.0,0.0,0.0
123,Let Me In,7.1,1.0,0.0,0.0,2.0,0.0
124,Kingpin,6.9,0.0,0.0,0.0,1.0,0.0
